1,Steve,1623239770,SELL,72,1550
2,Ben,1623239771,BUY,8,148
3,Steve,1623239772,SELL,24,6612
4,Kim,1623239773,SELL,98,435
5,Sarah,1623239774,BUY,72,5039
6,Ben,1623239775,SELL,75,6356
7,Kim,1623239776,BUY,38,7957
8,Alex,1623239777,BUY,51,218
9,Jennifer,1623239778,SELL,29,204
10,Alicia,1623239779,BUY,89,7596
11,Alex,1623239780,BUY,70,2351
12,James,1623239781,SELL,89,4352
13,Sarah,1623239782,SELL,98,8302
14,Alicia,1623239783,BUY,56,8771
15,Alex,1623239784,BUY,83,737
16,Andrew,1623239785,SELL,15,61
17,Steve,1623239786,BUY,62,4381
18,Ben,1623239787,BUY,33,5843
19,Alicia,1623239788,BUY,20,5255
20,James,1623239789,SELL,68,4260
